Date, Symbol , Relationship , Reporting Owner Address , Transaction Code , Avg Price Per Share , Sum of Transaction Shares , Link to Filing Details
2020-11-10T21:30:20-05:00 , IR , See Remarks , C/O INGERSOLL RAND INC. , M , 8.16 , 215289 , https://www.sec.gov/Archives/edgar/data/1699150/000114036120025236/xslF345X03/form4.xml
2020-11-10T21:30:20-05:00 , IR , See Remarks , C/O INGERSOLL RAND INC. , S , 40.22 , 125065 , https://www.sec.gov/Archives/edgar/data/1495366/000114036120025236/xslF345X03/form4.xml
2020-11-10T21:20:58-05:00 , TLRY , President and CEO , 2701 EASTLAKE AVE E , M , 7.76 , 380781 , https://www.sec.gov/Archives/edgar/data/1746070/000120919120057800/xslF345X03/doc4.xml
2020-11-10T21:20:58-05:00 , TLRY , President and CEO , 2701 EASTLAKE AVE E , S , 10.35 , 400000 , https://www.sec.gov/Archives/edgar/data/1731348/000120919120057800/xslF345X03/doc4.xml
2020-11-10T21:17:18-05:00 , PINS , Co-Founder & Chief Design & Cr , C/O PINTEREST  INC. , S , 147587 , 69198 , https://www.sec.gov/Archives/edgar/data/1773871/000150629320000263/xslF345X03/wf-form4_160506102460260.xml
2020-11-10T21:17:08-05:00 , RGEN , Chief Financial Officer , C/O REPLIGEN CORPORATION , M , 45.96 , 4979 , https://www.sec.gov/Archives/edgar/data/1613498/000089924320030759/xslF345X03/doc4.xml
2020-11-10T21:17:08-05:00 , RGEN , Chief Financial Officer , C/O REPLIGEN CORPORATION , S , 193.85 , 3791 , https://www.sec.gov/Archives/edgar/data/730272/000089924320030759/xslF345X03/doc4.xml
2020-11-10T21:02:37-05:00 , YETI ,  ,  , S , 57.96 , 18045 , https://www.sec.gov/Archives/edgar/data/1751121/000110465920123725/xslF345X03/a4.xml
2020-11-10T21:00:10-05:00 , ADPT , Chief Medical Officer , C/O ADAPTIVE BIOTECHNOLOGIES CORP. , M , 7.8 , 6250 , https://www.sec.gov/Archives/edgar/data/1780773/000120919120057799/xslF345X03/doc4.xml
2020-11-10T21:00:10-05:00 , ADPT , Chief Medical Officer , C/O ADAPTIVE BIOTECHNOLOGIES CORP. , S , 50.9 , 6250 , https://www.sec.gov/Archives/edgar/data/1478320/000120919120057799/xslF345X03/doc4.xml
2020-11-10T20:51:45-05:00 , COHU , VP Finance & CFO , 12367 CROSTHWAITE CIRCLE , M , 10.58 , 33780 , https://www.sec.gov/Archives/edgar/data/1416572/000120919120057795/xslF345X03/doc4.xml
2020-11-10T20:51:45-05:00 , COHU , VP Finance & CFO , 12367 CROSTHWAITE CIRCLE , S , 23.67 , 33780 , https://www.sec.gov/Archives/edgar/data/21535/000120919120057795/xslF345X03/doc4.xml
2020-11-10T20:48:32-05:00 , SPT , President and CEO , 131 SOUTH DEARBORN ST. , S , 46.17 , 20000 , https://www.sec.gov/Archives/edgar/data/1791816/000156218020006662/xslF345X03/primarydocument.xml
2020-11-10T20:47:52-05:00 , CDLX , Chief Legal & Privacy Officer , C/O CARDLYTICS  INC. , M , 16.81 , 5888 , https://www.sec.gov/Archives/edgar/data/1666071/000166607120000286/xslF345X03/wf-form4_160505925820716.xml
2020-11-10T20:47:52-05:00 , CDLX , Chief Legal & Privacy Officer , C/O CARDLYTICS  INC. , S , 94.14 , 10172 , https://www.sec.gov/Archives/edgar/data/1204015/000166607120000286/xslF345X03/wf-form4_160505925820716.xml
2020-11-10T20:46:58-05:00 , CDLX , Chief Executive Officer , C/O CARDLYTICS  INC. , M , 0 , 583 , https://www.sec.gov/Archives/edgar/data/1730687/000166607120000285/xslF345X03/wf-form4_160505919853904.xml
2020-11-10T20:46:58-05:00 , CDLX , Chief Executive Officer , C/O CARDLYTICS  INC. , S , 100.41 , 237 , https://www.sec.gov/Archives/edgar/data/1666071/000166607120000285/xslF345X03/wf-form4_160505919853904.xml
2020-11-10T20:45:16-05:00 , CDLX , Director , C/O CARDLYTICS  INC. , M , 0 , 350 , https://www.sec.gov/Archives/edgar/data/1666071/000166607120000284/xslF345X03/wf-form4_160505910058463.xml
2020-11-10T20:45:16-05:00 , CDLX , Director , C/O CARDLYTICS  INC. , S , 100.4 , 144 , https://www.sec.gov/Archives/edgar/data/1617486/000166607120000284/xslF345X03/wf-form4_160505910058463.xml
2020-11-10T20:44:25-05:00 , CDLX , Chief Financial Officer , C/O CARDLYTICS  INC. , M , 0 , 408 , https://www.sec.gov/Archives/edgar/data/1805400/000166607120000283/xslF345X03/wf-form4_160505904891201.xml
2020-11-10T20:44:25-05:00 , CDLX , Chief Financial Officer , C/O CARDLYTICS  INC. , S , 94.85 , 3837 , https://www.sec.gov/Archives/edgar/data/1666071/000166607120000283/xslF345X03/wf-form4_160505904891201.xml
2020-11-10T20:22:33-05:00 , JBL , EVP  CEO  EMS , 10560 DR. MARTIN LUTHER KING  JR. ST. N. , S , 38 , 2000 , https://www.sec.gov/Archives/edgar/data/1621146/000122520820013345/xslF345X03/doc4.xml
2020-11-10T20:21:00-05:00 , ONEM , General Counsel and Secretary , C/O 1LIFE HEALTHCARE  INC. , M , 5.1 , 13000 , https://www.sec.gov/Archives/edgar/data/1800511/000156218020006661/xslF345X03/primarydocument.xml
2020-11-10T20:21:00-05:00 , ONEM , General Counsel and Secretary , C/O 1LIFE HEALTHCARE  INC. , S , 32.57 , 13000 , https://www.sec.gov/Archives/edgar/data/1404123/000156218020006661/xslF345X03/primarydocument.xml
2020-11-10T20:15:41-05:00 , RUN , Chief Accounting Officer , 225 BUSH STREET  SUITE 1400 , M , 8.05 , 10000 , https://www.sec.gov/Archives/edgar/data/1469367/000146936720000233/xslF345X03/wf-form4_160505731959639.xml
2020-11-10T20:15:41-05:00 , RUN , Chief Accounting Officer , 225 BUSH STREET  SUITE 1400 , S , 60.36 , 10000 , https://www.sec.gov/Archives/edgar/data/1290083/000146936720000233/xslF345X03/wf-form4_160505731959639.xml
2020-11-10T20:12:53-05:00 , ZEN , President of Products , 989 MARKET STREET , M , 6.24 , 9360 , https://www.sec.gov/Archives/edgar/data/1605957/000146317220000424/xslF345X03/wf-form4_160505715684249.xml
2020-11-10T20:12:53-05:00 , ZEN , President of Products , 989 MARKET STREET , S , 124.83 , 15831 , https://www.sec.gov/Archives/edgar/data/1463172/000146317220000424/xslF345X03/wf-form4_160505715684249.xml
2020-11-10T20:07:09-05:00 , GATX , EVP & CFO , 233 S. WACKER DR. , M , 58.35 , 12500 , https://www.sec.gov/Archives/edgar/data/1534505/000124636020001813/xslF345X03/form.xml
2020-11-10T20:07:09-05:00 , GATX , EVP & CFO , 233 S. WACKER DR. , S , 79.58 , 1847 , https://www.sec.gov/Archives/edgar/data/40211/000124636020001813/xslF345X03/form.xml
2020-11-10T20:03:21-05:00 , DIS , EVP  Control  Fin Plan & Tax , 500 SOUTH BUENA VISTA STREET , M , 39.2 , 17077 , https://www.sec.gov/Archives/edgar/data/1744489/000174448920000186/xslF345X03/wf-form4_160505658231585.xml
2020-11-10T20:03:21-05:00 , DIS , EVP  Control  Fin Plan & Tax , 500 SOUTH BUENA VISTA STREET , S , 141.93 , 17077 , https://www.sec.gov/Archives/edgar/data/1211698/000174448920000186/xslF345X03/wf-form4_160505658231585.xml
2020-11-10T20:02:40-05:00 , DIS , Sr EVP  General Counsel & Secy , 500 SOUTH BUENA VISTA STREET , M , 61.94 , 97814 , https://www.sec.gov/Archives/edgar/data/1744489/000174448920000184/xslF345X03/wf-form4_160505654377103.xml
2020-11-10T20:02:40-05:00 , DIS , Sr EVP  General Counsel & Secy , 500 SOUTH BUENA VISTA STREET , S , 142.5 , 97814 , https://www.sec.gov/Archives/edgar/data/1270528/000174448920000184/xslF345X03/wf-form4_160505654377103.xml
2020-11-10T19:59:07-05:00 , NUAN , Chief Executive Officer , ONE WAYSIDE ROAD , S , 33.81 , 44274 , https://www.sec.gov/Archives/edgar/data/1525550/000152555020000008/xslF345X03/edgardoc.xml
2020-11-10T19:46:41-05:00 , EXPE , Chief Accounting Officer , C/O EXPEDIA GROUP  INC. , M , 85.14 , 12570 , https://www.sec.gov/Archives/edgar/data/1530267/000122520820013342/xslF345X03/doc4.xml
2020-11-10T19:46:41-05:00 , EXPE , Chief Accounting Officer , C/O EXPEDIA GROUP  INC. , S , 124.79 , 11983 , https://www.sec.gov/Archives/edgar/data/1324424/000122520820013342/xslF345X03/doc4.xml
2020-11-10T19:45:43-05:00 , MU , EVP  Technology & Products , 8000 S. FEDERAL WAY , M , 17.41 , 17640 , https://www.sec.gov/Archives/edgar/data/1568238/000106299320005499/xslF345X03/form4.xml
2020-11-10T19:45:43-05:00 , MU , EVP  Technology & Products , 8000 S. FEDERAL WAY , S , 55 , 27640 , https://www.sec.gov/Archives/edgar/data/723125/000106299320005499/xslF345X03/form4.xml
2020-11-10T19:43:41-05:00 , MU , SVP  General Counsel&Secretary , 8000 S. FEDERAL WAY , M , 28.77 , 30900 , https://www.sec.gov/Archives/edgar/data/1595382/000106299320005497/xslF345X03/form4.xml
2020-11-10T19:43:41-05:00 , MU , SVP  General Counsel&Secretary , 8000 S. FEDERAL WAY , S , 56.8 , 30900 , https://www.sec.gov/Archives/edgar/data/723125/000106299320005497/xslF345X03/form4.xml
2020-11-10T19:42:59-05:00 , FND , Director , C/O FLOOR & DECOR HOLDINGS  INC. , M , 3.59 , 107182 , https://www.sec.gov/Archives/edgar/data/1507079/000141588920002604/xslF345X03/form4-11102020_041145.xml
2020-11-10T19:42:59-05:00 , FND , Director , C/O FLOOR & DECOR HOLDINGS  INC. , S , 81.03 , 55000 , https://www.sec.gov/Archives/edgar/data/1196976/000141588920002604/xslF345X03/form4-11102020_041145.xml
2020-11-10T19:41:05-05:00 , LGND , Chief Executive Officer , 3911 SORRENTO VALLEY BOULEVARD  STE 110 , M , 10.05 , 20000 , https://www.sec.gov/Archives/edgar/data/1208906/000088616320000124/xslF345X03/edgardoc.xml
2020-11-10T19:39:03-05:00 , QLYS , Director , C/O QUALYS  INC. , M , 13.5 , 2535 , https://www.sec.gov/Archives/edgar/data/1329632/000120919120057790/xslF345X03/doc4.xml
2020-11-10T19:39:03-05:00 , QLYS , Director , C/O QUALYS  INC. , S , 95.04 , 2535 , https://www.sec.gov/Archives/edgar/data/1107843/000120919120057790/xslF345X03/doc4.xml
2020-11-10T19:37:45-05:00 , QLYS , Pres. & Chief Product Officer , C/O QUALYS  INC. , S , 93.49 , 3141 , https://www.sec.gov/Archives/edgar/data/1558242/000120919120057789/xslF345X03/doc4.xml
2020-11-10T19:37:20-05:00 , ALEX , EVP/Chief Real Estate Officer , 822 BISHOP STREET , M , 13.11 , 1740 , https://www.sec.gov/Archives/edgar/data/1649613/000122520820013340/xslF345X03/doc4.xml
2020-11-10T19:37:17-05:00 , ALEX , Exec. VP  External Affairs , 822 BISHOP STREET , M , 13.11 , 23466 , https://www.sec.gov/Archives/edgar/data/1545654/000122520820013339/xslF345X03/doc4.xml
2020-11-10T19:36:35-05:00 , CBU , Executive VP & General Counsel , C/O COMMUNITY BANK SYSTEM  INC. , M , 28.78 , 8489 , https://www.sec.gov/Archives/edgar/data/1422188/000112760220028676/xslF345X03/form4.xml
