Symbol , Exchange , Short Name , Market , Tradeable, Regular Market Price , Regular Market Change , Regular Market Previous Close , 50 Day Avg ,  200 Day Avg , 52 Week Low , 52 Week High 
ILLLX , NAS , Transamerica Capital Growth Cla , us_market , 0 , 39.47 , 1.24 , 38.23 , 37.2289 , 31.9434 , 15.51 , 39.82
SCATX , NAS , Virtus Zevenbergen Innovative G , us_market , 0 , 60.98 , 1.48 , 59.5 , 56.0826 , 48.1271 , 24.34 , 60.98
FSELX , NAS , Fidelity Select Semiconductors  , us_market , 0 , 15.51 , 0.33 , 15.18 , 14.0766 , 12.6281 , 7.97 , 15.51
FELIX , NAS , Fidelity Advisor Semiconductors , us_market , 0 , 38.96 , 0.82 , 38.14 , 35.378 , 31.755 , 18.61 , 38.96
FELTX , NAS , Fidelity Advisor Semiconductors , us_market , 0 , 34.69 , 0.73 , 33.96 , 31.5149 , 28.3178 , 16.63 , 34.69
FELAX , NAS , Fidelity Advisor Semiconductors , us_market , 0 , 36.61 , 0.77 , 35.84 , 33.254 , 29.8645 , 17.52 , 36.61
FELCX , NAS , Fidelity Advisor Semiconductors , us_market , 0 , 30.87 , 0.64 , 30.23 , 28.0566 , 25.2332 , 14.84 , 30.87
TEFQX , NAS , Firsthand Technology Opportunit , us_market , 0 , 20.03 , 0.4 , 19.63 , 18.6911 , 16.2222 , 10.02 , 20.26
PRLAX , NAS , T. Rowe Price Latin America Fun , us_market , 0 , 19.36 , 0.38 , 18.98 , 17.8834 , 17.7347 , 12.79 , 26.03
JLGAX , NAS , JAG Large Cap Growth Fd Cl A , us_market , 0 , 22.4 , 0.41 , 21.99 , 20.9783 , 19.3805 , 12.85 , 22.4
MSPTX , NAS , MSIF GLOBAL ADVANTAGE PORTFOLIO , us_market , 0 , 28.56 , 0.48 , 28.08 , 26.6803 , 23.4791 , 12.9 , 28.56
MIGPX , NAS , MSIF Global Advantage Portfolio , us_market , 0 , 30.54 , 0.51 , 30.03 , 28.5191 , 25.0613 , 13.72 , 30.54
MIGIX , NAS , Morgan Stanley Insti Fd Global  , us_market , 0 , 31.29 , 0.52 , 30.77 , 29.2114 , 25.6594 , 14.03 , 31.29
PARNX , NAS , Parnassus Mid Cap Growth Fund I , us_market , 0 , 60.25 , 1 , 59.25 , 56.4794 , 52.4767 , 35.1 , 60.25
PFPRX , NAS , Parnassus Mid Cap Growth Fund I , us_market , 0 , 60.29 , 1 , 59.29 , 56.5097 , 52.4889 , 35.08 , 60.29
BARUX , NAS , Baron Asset Fund R6 Shares , us_market , 0 , 112.84 , 1.84 , 111 , 105.958 , 99.034 , 64.07 , 112.84
BARIX , NAS , Baron Asset Fund Inst Shs , us_market , 0 , 112.86 , 1.84 , 111.02 , 105.975 , 99.0498 , 64.09 , 112.86
BARAX , NAS , Baron Asset Fund , us_market , 0 , 108.02 , 1.76 , 106.26 , 101.446 , 94.8629 , 61.43 , 108.02
INIVX , NAS , Van Eck Funds - International I , us_market , 0 , 15.86 , 0.24 , 15.62 , 15.0437 , 14.1763 , 6.92 , 16.57
MIDNX , NAS , Matthews India Fund Insti Class , us_market , 0 , 24.16 , 0.35 , 23.81 , 23.1131 , 20.5648 , 14.02 , 26.44
MINDX , NAS , Matthews India Fund Investor Cl , us_market , 0 , 23.85 , 0.34 , 23.51 , 22.8211 , 20.3077 , 13.85 , 26.17
EPGFX , NAS , EuroPac Gold Fund Cl A , us_market , 0 , 15.13 , 0.2 , 14.93 , 14.2049 , 13.3762 , 6.82 , 15.87
CVMIX , NAS , Calvert Emerging Markets Equity , us_market , 0 , 20.56 , 0.26 , 20.3 , 19.1371 , 17.4789 , 12.32 , 20.56
BESIX , NAS , William Blair Emerging Markets  , us_market , 0 , 20.18 , 0.25 , 19.93 , 19.0357 , 17.8977 , 11.93 , 20.18
MGGIX , NAS , Morgan Stanley Insti Fd Global  , us_market , 0 , 43.61 , 0.54 , 43.07 , 40.9526 , 36.1183 , 22.91 , 43.61
